223 0552 228 0000 553 C40D 000 0000 0000 0000
228 0552 229 0000 228 0552 000 0000 0000 0000 228 0552
229 0000 22A 0000 229 0000 000 0000 0000 0000 229 0000
22A 000D 22B 0000 22A 000D 000 0000 0000 0000 22A 000D
22B 0552 22C 0000 22B 0552 000 0000 0000 0000 22B 0552
22C 00FF 22D 0000 22C 00FF 000 0000 0000 0000 22C 00FF
22D 0200 22E 0000 22D 0200 000 0000 0000 0000 22D 0200
22E 1203 22F 0000 22E 1203 000 0000 0000 0000 22E 1203
22F 2F40 230 0000 22F 2F40 000 0000 0000 0000 22F 2F40
230 F0FD 231 0000 230 F0FD 000 0000 0000 0000 230 F0FD
231 AAF9 232 0000 231 AAF9 000 0000 0000 0000 231 AAF9
232 E8F6 233 0000 232 E8F6 000 0000 0000 0000 232 E8F6
233 0680 234 0000 233 0680 000 0000 0000 0000 233 0680
234 2EF7 235 0000 234 2EF7 000 0000 0000 0000 234 2EF7
235 7EF4 236 0000 235 7EF4 000 0000 0000 0000 235 7EF4
236 F00A 237 0000 236 F00A 000 0000 0000 0000 236 F00A
237 1302 238 0000 237 1302 000 0000 0000 0000 237 1302
238 1203 239 0000 238 1203 000 0000 0000 0000 238 1203
239 2F40 23A 0000 239 2F40 000 0000 0000 0000 239 2F40
23A F0FD 23B 0000 23A F0FD 000 0000 0000 0000 23A F0FD
23B AEED 23C 0000 23B AEED 000 0000 0000 0000 23B AEED
23C 2EEF 23D 0000 23C 2EEF 000 0000 0000 0000 23C 2EEF
23D 7EEC 23E 0000 23D 7EEC 000 0000 0000 0000 23D 7EEC
23E F002 23F 0000 23E F002 000 0000 0000 0000 23E F002
23F 1302 240 0000 23F 1302 000 0000 0000 0000 23F 1302
240 CEEC 241 0000 240 CEEC 000 0000 0000 0000 240 CEEC
241 AEE6 242 0000 241 AEE6 000 0000 0000 0000 241 AEE6
242 EEE8 243 0000 242 EEE8 000 0000 0000 0000 242 EEE8
243 0100 244 0000 243 0100 000 0000 0000 0000 243 0100
244 0000 22D 0000 243 0100 000 0000 0000 0000
