Дата;Открытие;Макс;Мин;Закрытие;
05.09.2018;106300.0000000;106300.0000000;106300.0000000;106300.0000000;
05.10.2018;114310.0000000;115030.0000000;114310.0000000;114980.0000000;
05.10.2018;114980.0000000;115120.0000000;114880.0000000;114950.0000000;
05.10.2018;114960.0000000;115000.0000000;114820.0000000;114880.0000000;
05.10.2018;114880.0000000;114910.0000000;114790.0000000;114830.0000000;
05.10.2018;114850.0000000;114920.0000000;114810.0000000;114920.0000000;
05.10.2018;114920.0000000;114930.0000000;114810.0000000;114810.0000000;
05.10.2018;114810.0000000;114890.0000000;114800.0000000;114820.0000000;
05.10.2018;114820.0000000;114900.0000000;114810.0000000;114880.0000000;
05.10.2018;114890.0000000;114920.0000000;114860.0000000;114920.0000000;
05.10.2018;114920.0000000;114950.0000000;114890.0000000;114890.0000000;
05.10.2018;114890.0000000;115000.0000000;114880.0000000;114960.0000000;
05.10.2018;114960.0000000;115000.0000000;114920.0000000;114920.0000000;
05.10.2018;114930.0000000;114930.0000000;114880.0000000;114890.0000000;
05.10.2018;114880.0000000;114950.0000000;114880.0000000;114940.0000000;
05.10.2018;114950.0000000;115000.0000000;114940.0000000;114990.0000000;
05.10.2018;114980.0000000;115160.0000000;114970.0000000;115140.0000000;
05.10.2018;115150.0000000;115320.0000000;115150.0000000;115280.0000000;
05.10.2018;115290.0000000;115330.0000000;115200.0000000;115330.0000000;
05.10.2018;115320.0000000;115360.0000000;115230.0000000;115290.0000000;
05.10.2018;115280.0000000;115290.0000000;115190.0000000;115270.0000000;
05.10.2018;115280.0000000;115310.0000000;115220.0000000;115260.0000000;
05.10.2018;115260.0000000;115310.0000000;115220.0000000;115300.0000000;
05.10.2018;115300.0000000;115360.0000000;115240.0000000;115260.0000000;
05.10.2018;115250.0000000;115270.0000000;115160.0000000;115180.0000000;
05.10.2018;115190.0000000;115220.0000000;115170.0000000;115180.0000000;
05.10.2018;115180.0000000;115370.0000000;115180.0000000;115370.0000000;
05.10.2018;115370.0000000;115380.0000000;115290.0000000;115350.0000000;
05.10.2018;115350.0000000;115390.0000000;115300.0000000;115370.0000000;
05.10.2018;115370.0000000;115550.0000000;115340.0000000;115500.0000000;
05.10.2018;115490.0000000;115600.0000000;115450.0000000;115590.0000000;
05.10.2018;115570.0000000;115660.0000000;115560.0000000;115570.0000000;
05.10.2018;115560.0000000;115640.0000000;115540.0000000;115620.0000000;
05.10.2018;115620.0000000;115680.0000000;115550.0000000;115580.0000000;
05.10.2018;115560.0000000;115570.0000000;115450.0000000;115500.0000000;
05.10.2018;115490.0000000;115530.0000000;115460.0000000;115530.0000000;
05.10.2018;115510.0000000;115600.0000000;115480.0000000;115540.0000000;
05.10.2018;115550.0000000;115590.0000000;115420.0000000;115420.0000000;
05.10.2018;115420.0000000;115480.0000000;115290.0000000;115310.0000000;
05.10.2018;115310.0000000;115370.0000000;115280.0000000;115280.0000000;
05.10.2018;115280.0000000;115390.0000000;115280.0000000;115320.0000000;
05.10.2018;115340.0000000;115430.0000000;115330.0000000;115380.0000000;
05.10.2018;115400.0000000;115450.0000000;115370.0000000;115430.0000000;
05.10.2018;115430.0000000;115440.0000000;115360.0000000;115410.0000000;
05.10.2018;115410.0000000;115480.0000000;115410.0000000;115450.0000000;
05.10.2018;115440.0000000;115490.0000000;115380.0000000;115380.0000000;
05.10.2018;115380.0000000;115550.0000000;115380.0000000;115500.0000000;
05.10.2018;115510.0000000;115520.0000000;115420.0000000;115440.0000000;
05.10.2018;115440.0000000;115470.0000000;115310.0000000;115330.0000000;
05.10.2018;115330.0000000;115470.0000000;115290.0000000;115460.0000000;
05.10.2018;115440.0000000;115520.0000000;115410.0000000;115480.0000000;
05.10.2018;115460.0000000;115480.0000000;115360.0000000;115410.0000000;
05.10.2018;115420.0000000;115480.0000000;115390.0000000;115400.0000000;
05.10.2018;115400.0000000;115400.0000000;115290.0000000;115310.0000000;
05.10.2018;115310.0000000;115360.0000000;115220.0000000;115280.0000000;
05.10.2018;115280.0000000;115300.0000000;115180.0000000;115190.0000000;
05.10.2018;115190.0000000;115260.0000000;115190.0000000;115190.0000000;
05.10.2018;115190.0000000;115210.0000000;115160.0000000;115180.0000000;
05.10.2018;115210.0000000;115300.0000000;115210.0000000;115270.0000000;
05.10.2018;115270.0000000;115290.0000000;115200.0000000;115200.0000000;
05.10.2018;115220.0000000;115290.0000000;115200.0000000;115220.0000000;
05.10.2018;115240.0000000;115260.0000000;115160.0000000;115160.0000000;
05.10.2018;115160.0000000;115200.0000000;115130.0000000;115140.0000000;
05.10.2018;115140.0000000;115170.0000000;115120.0000000;115130.0000000;
05.10.2018;115140.0000000;115140.0000000;115000.0000000;115010.0000000;
05.10.2018;115020.0000000;115050.0000000;114990.0000000;115030.0000000;
05.10.2018;115020.0000000;115180.0000000;115000.0000000;115090.0000000;
05.10.2018;115110.0000000;115210.0000000;115090.0000000;115180.0000000;
05.10.2018;115190.0000000;115290.0000000;115130.0000000;115130.0000000;
05.10.2018;115130.0000000;115200.0000000;115130.0000000;115200.0000000;
05.10.2018;115200.0000000;115250.0000000;115170.0000000;115240.0000000;
05.10.2018;115240.0000000;115280.0000000;115180.0000000;115250.0000000;
05.10.2018;115230.0000000;115360.0000000;115230.0000000;115280.0000000;
05.10.2018;115280.0000000;115350.0000000;115260.0000000;115320.0000000;
05.10.2018;115320.0000000;115350.0000000;115290.0000000;115320.0000000;
05.10.2018;115330.0000000;115340.0000000;115240.0000000;115280.0000000;
05.10.2018;115290.0000000;115330.0000000;115250.0000000;115270.0000000;
05.10.2018;115270.0000000;115330.0000000;115260.0000000;115290.0000000;
05.10.2018;115300.0000000;115300.0000000;115250.0000000;115260.0000000;
05.10.2018;115260.0000000;115300.0000000;115250.0000000;115280.0000000;
05.10.2018;115280.0000000;115310.0000000;115260.0000000;115270.0000000;
05.10.2018;115280.0000000;115300.0000000;115230.0000000;115230.0000000;
05.10.2018;115230.0000000;115240.0000000;115140.0000000;115210.0000000;
05.10.2018;115200.0000000;115220.0000000;115130.0000000;115190.0000000;
05.10.2018;115200.0000000;115220.0000000;115170.0000000;115190.0000000;
05.10.2018;115190.0000000;115200.0000000;115160.0000000;115180.0000000;
05.10.2018;115180.0000000;115180.0000000;115090.0000000;115130.0000000;
05.10.2018;115140.0000000;115150.0000000;115080.0000000;115120.0000000;
05.10.2018;115110.0000000;115120.0000000;114890.0000000;114940.0000000;
05.10.2018;114940.0000000;114940.0000000;114720.0000000;114800.0000000;
05.10.2018;114800.0000000;114870.0000000;114790.0000000;114800.0000000;
05.10.2018;114810.0000000;114850.0000000;114790.0000000;114800.0000000;
05.10.2018;114800.0000000;114810.0000000;114730.0000000;114790.0000000;
05.10.2018;114800.0000000;114810.0000000;114710.0000000;114800.0000000;
05.10.2018;114800.0000000;114820.0000000;114750.0000000;114810.0000000;
05.10.2018;114810.0000000;114840.0000000;114730.0000000;114740.0000000;
05.10.2018;114740.0000000;114800.0000000;114620.0000000;114650.0000000;
05.10.2018;114660.0000000;114660.0000000;114550.0000000;114580.0000000;
05.10.2018;114570.0000000;114590.0000000;114430.0000000;114440.0000000;
05.10.2018;114440.0000000;114530.0000000;114430.0000000;114520.0000000;
05.10.2018;114500.0000000;114510.0000000;114450.0000000;114470.0000000;
05.10.2018;114460.0000000;114500.0000000;114390.0000000;114480.0000000;
05.10.2018;114470.0000000;114540.0000000;114470.0000000;114520.0000000;
05.10.2018;114530.0000000;114580.0000000;114510.0000000;114560.0000000;
05.10.2018;114570.0000000;114610.0000000;114470.0000000;114480.0000000;
05.10.2018;114480.0000000;114530.0000000;114440.0000000;114470.0000000;
05.10.2018;114460.0000000;114480.0000000;114350.0000000;114350.0000000;
05.10.2018;114360.0000000;114380.0000000;114250.0000000;114310.0000000;
05.10.2018;114310.0000000;114430.0000000;114300.0000000;114400.0000000;
05.10.2018;114410.0000000;114430.0000000;114340.0000000;114390.0000000;
